Predictor variable,Categorical,Sample average
Asp_EW,false,14.86367310418023
Asp_NS,false,8.565159921292905
Dist,false,10.232533419573748
bath,false,-36.158518844180634
prc,false,1949.5959382233796
prs,false,55.469259827225294
sal,false,3328.215422453704
slp,false,0.884459055684231
tmp,false,2300.1553955078125
tpa,false,21.12185188576027
tpr,false,15.74074062594661
