Predictor variable,Categorical,Sample average
Asp_EW,false,-3.9978824026054807
Asp_NS,false,-4.01040075884925
Dist,false,12.352400044600168
bath,false,-14.641111122237312
prc,false,2480.3550008138022
prs,false,63.62972217135959
sal,false,3157.4630330403647
slp,false,0.43703296449449325
tmp,false,2834.3190104166665
tpa,false,26.75
tpr,false,5.915555563237932
