X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
107.125,20.625,train,0.009609167397500937,76.29690408237381,0.9589188813838448
108.875,21.45833333,train,0.005614278789246593,57.63163399494425,0.845117345627141
116.7916667,-1.458333333,train,0.0020964882198046216,32.4359111018065,0.50165485879882
129.4583333,33.04166667,train,0.02099509572833897,99.99999387321135,0.9990647165676031
108.9583333,21.45833333,train,0.013374574092859533,83.62594552225309,0.9882404656592634
117.4583333,6.875,train,0.0038868543357529566,49.04303913889128,0.7250675086943059
129.625,33.54166667,train,0.017062902558925543,94.04355088543512,0.9965465083440489
130.0416667,33.70833333,train,0.007787942036578617,68.45300743814316,0.9247686901441231
130.2916667,33.79166667,train,0.019038078948445288,95.94733602333775,0.9982081945964523
130.375,33.875,train,0.014199237886747394,86.4325821631829,0.9910584630568754
131.2916667,33.70833333,train,0.011140515905094262,78.48406929463184,0.9752993868755365
131.875,33.375,train,0.006909482742324776,64.69776117916481,0.8992748573029297
133.4583333,34.20833333,train,0.01512201294449396,92.3372695428052,0.993419191197555
119.625,23.45833333,train,0.006593418637232479,61.310022112694014,0.8881237555136956
121.9583333,28.95833333,train,0.013338866593132714,82.28923711393922,0.9881001412592574
117.625,23.625,train,0.007251218255300825,66.13610398263886,0.9100845806724326
109.0416667,19.875,train,0.0027760500258679497,38.13141476884109,0.6023629947188085
114.0416667,22.04166667,train,0.013853572205449763,85.01219293598356,0.9899704161022613
115.7916667,5.791666667,train,0.0023590770702950075,34.407445841498834,0.5432849159053272
110.625,20.70833333,train,0.007736829919076781,67.67417424921987,0.9234803811397807
127.0416667,33.54166667,train,0.008068237537015951,70.83877360362791,0.931457627536109
120.5416667,24.54166667,train,0.005687549799482307,58.768702779293534,0.8488418231323606
131.875,33.45833333,train,0.006126915764089957,59.38141318711879,0.8693701752778225
131.7083333,33.875,train,0.019531341132225224,97.90054942242328,0.9984790123376109
115.9583333,6.208333333,train,6.529376842537843E-4,14.751075959267373,0.1949965387958582
115.875,5.958333333,train,0.0019152075456176922,29.844750108055724,0.4707213139630998
121.375,25.375,train,0.004662795944930774,52.454625087490655,0.7875398487010197
113.9583333,22.04166667,test,0.013129379040393843,80.89988327296183,0.9872425017864378
131.4583333,33.875,test,0.009709964278108536,76.39488086525395,0.9602717127803191
121.7916667,30.20833333,test,0.00852221633916093,72.35363387742504,0.9410530183962196
116.7083333,-1.541666667,test,0.001196627636073373,21.816245365181064,0.3280187483221725
118.875,9.708333333,test,1.0327406885388605E-4,5.317094517861074,0.03372623959638765
111.875,21.45833333,test,0.00932842995761128,73.82698419570526,0.9549032222266715
119.125,24.95833333,test,0.012029478521217175,80.03841627860606,0.9816154457609513
131.2083333,33.79166667,test,0.007835546820363633,69.27232272400364,0.9259490784787546
