X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
99.54166667,6.875,train,0.02369915902603437,86.59318305848267,0.9914266787353908
107.125,20.625,train,0.006576663340069556,44.11330548235731,0.7330462168646279
100.5416667,13.375,train,0.01855838011853179,77.98155828556496,0.9759294133754808
108.875,21.45833333,train,0.0034484603763166428,31.310569183001533,0.4996742025652545
103.625,1.125,train,0.009272609675051585,55.4844443479663,0.8446478651445459
103.5416667,1.208333333,train,0.01761504760946344,76.12585304140443,0.970909138465032
101.2916667,7.041666667,train,0.015074045592355829,71.10445097641632,0.951542340437934
101.375,7.041666667,train,0.010011070025158378,58.41385940339532,0.8660586639979421
99.45833333,9.458333333,train,0.007900089209486642,47.80810022398729,0.7953473033551954
99.375,9.541666667,train,0.010835298621587431,59.49859453387772,0.8864905530826138
99.29166667,9.791666667,train,0.01120215719898705,60.61868138633922,0.894552196020351
98.29166667,9.791666667,train,0.012783647496947317,66.88965675393636,0.9232439498057261
98.29166667,9.541666667,train,0.01275444171496069,65.61292536290726,0.9227924604362948
116.7916667,-1.458333333,train,0.0034051529841281603,30.621828360261432,0.4953040493640948
116.7083333,-1.541666667,train,0.002286188798807208,24.867627571882778,0.3681457406265092
105.5416667,8.958333333,train,0.009986243518086775,57.414101154618834,0.865389233977172
108.9583333,21.45833333,train,0.006705406029544712,44.78380801154188,0.7398593786374636
107.875,-6.041666667,train,0.004604444408736966,37.42195957101912,0.6033228134049768
110.4583333,-6.708333333,train,0.011803558076142105,61.79908559087868,0.9065480925212142
113.2916667,-7.625,train,0.004749045348078371,38.84018904860169,0.6146757975313213
107.125,10.20833333,train,0.00915445432091907,54.55721983942583,0.840917726249351
103.4583333,10.45833333,train,0.020839136753884522,84.22333156155229,0.9847742974252981
91.79166667,21.45833333,train,0.01709737904353028,74.36423216141418,0.9677222323671738
100.625,13.375,train,0.015502307647372614,72.65452491598002,0.955535557961513
100.7916667,13.375,train,0.02975821606321442,100.0,0.9974606260767858
87.95833333,21.625,train,0.02491376869118933,91.49934903619041,0.9932823005745814
88.20833333,21.45833333,train,0.02810184893396604,97.02426630440706,0.9964585449429086
98.79166667,3.958333333,train,0.012634981365666658,63.06263769096531,0.9209179192092318
116.9583333,-1.375,train,0.0024842864781197734,25.60077391807947,0.39278789061282204
110.125,1.875,train,0.020838838549363515,82.40716591896496,0.9847733856318419
110.7083333,1.708333333,train,0.012729889159413976,64.33550951034297,0.9224108507448
100.7916667,3.625,train,0.008873478337563422,53.64169802392093,0.8316836652810207
103.625,3.458333333,train,0.0041257998089077215,33.92395881169538,0.5633024312307469
115.9583333,6.208333333,train,0.0021983664806728884,23.89184656789913,0.3569036023183383
115.875,5.958333333,train,0.007643524316853231,46.23287156149132,0.7845269260760552
101.2916667,2.708333333,train,0.013967913034858502,69.59689915904045,0.9394895392475858
103.9583333,-0.875,test,0.022037457263513752,85.21623657738054,0.9880306815598595
110.375,-6.791666667,test,0.006019614965962013,42.495366833564226,0.7014497913769298
100.2916667,13.375,test,0.026090315869164347,92.9305987841068,0.9946959019559414
98.20833333,9.375,test,0.0044369139795436855,36.02363315249751,0.5897506637587675
100.7916667,13.29166667,test,0.0295873791028587,99.6930375570563,0.9973719980243182
87.54166667,21.45833333,test,0.00817838328000158,51.039739480388874,0.8064706264004611
114.0416667,22.04166667,test,0.003544336801012118,31.829481264951166,0.509214953304693
105.7916667,9.208333333,test,0.024062156429102984,88.54350275906242,0.9920293934630888
98.54166667,7.791666667,test,0.00855294749703224,51.964233927207175,0.8204934091866518
101.7083333,2.458333333,test,0.017208037086859133,74.74092414382797,0.9684315846340734
86.95833333,20.45833333,test,0.008220945058744893,51.14353414565624,0.8081176656017518
98.375,10.29166667,test,0.017341878667849527,75.19615696536269,0.9692687524399962
